date,holiday
2015-01-01,1
2015-04-03,1
2015-04-06,1
2015-05-01,1
2015-05-14,1
2015-05-25,1
2015-10-03,1
2015-12-25,1
2015-12-26,1
2016-01-01,1
2016-03-25,1
2016-03-28,1
2016-05-01,1
2016-05-05,1
2016-05-16,1
2016-10-03,1
2016-12-25,1
2016-12-26,1
2017-01-01,1
2017-04-14,1
2017-04-17,1
2017-05-01,1
2017-05-25,1
2017-06-05,1
2017-10-03,1
2017-10-31,1
2017-12-25,1
2017-12-26,1
2018-01-01,1
2018-03-30,1
2018-04-02,1
2018-05-01,1
2018-05-10,1
2018-05-21,1
2018-10-03,1
2018-12-25,1
2018-12-26,1
2019-01-01,1
2019-04-19,1
2019-04-22,1
2019-05-01,1
2019-05-30,1
2019-06-10,1
2019-10-03,1
2019-12-25,1
2019-12-26,1
2020-01-01,1
2020-04-10,1
2020-04-13,1
2020-05-01,1
2020-05-21,1
2020-06-01,1
2020-10-03,1
2020-12-25,1
2020-12-26,1
2021-01-01,1
2021-04-02,1
2021-04-05,1
2021-05-01,1
2021-05-13,1
2021-05-24,1
2021-10-03,1
2021-12-25,1
2021-12-26,1
2022-01-01,1
2022-04-15,1
2022-04-18,1
2022-05-01,1
2022-05-26,1
2022-06-06,1
2022-10-03,1
2022-12-25,1
2022-12-26,1
